,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
99,99.0,Botswana,305859,,2688.0,,303026.0,,145.0,1.0,125417.0,1102.0,2026898.0,831126.0,2438737.0,8.0,907.0,1.0,,,59.0
100,100.0,Albania,275191,14.0,3496.0,,271339.0,33.0,356.0,2.0,95818.0,1217.0,1808310.0,629628.0,2872031.0,10.0,822.0,2.0,5.0,,124.0
101,101.0,Algeria,265782,,6875.0,,178358.0,,80549.0,6.0,5867.0,152.0,230861.0,5096.0,45303854.0,170.0,6590.0,196.0,,,1778.0
102,102.0,Nigeria,255766,13.0,3143.0,,249914.0,3.0,2709.0,11.0,1187.0,15.0,5075820.0,23552.0,215511406.0,843.0,68569.0,42.0,0.06,,13.0
103,103.0,Zimbabwe,247990,55.0,5470.0,,241861.0,11.0,659.0,12.0,16251.0,358.0,2262474.0,148262.0,15259935.0,62.0,2790.0,7.0,4.0,,43.0
104,104.0,Luxembourg,239335,1479.0,1064.0,,229617.0,2420.0,8654.0,2.0,371255.0,1650.0,4232272.0,6565082.0,644664.0,3.0,606.0,0.0,2294.0,,13424.0
105,105.0,Uzbekistan,238628,1.0,1637.0,,236746.0,10.0,245.0,23.0,6945.0,48.0,1377915.0,40103.0,34359257.0,144.0,20989.0,25.0,0.03,,7.0
106,106.0,Montenegro,235403,65.0,2716.0,1.0,232032.0,114.0,655.0,6.0,374719.0,4323.0,2455249.0,3908313.0,628212.0,3.0,231.0,0.0,103.0,2.0,1043.0
107,107.0,Mozambique,225387,,2201.0,,223143.0,5.0,43.0,13.0,6859.0,67.0,1313881.0,39982.0,32861508.0,146.0,14930.0,25.0,,,1.0
108,108.0,China,217836,384.0,5112.0,20.0,196458.0,4271.0,16266.0,615.0,151.0,4.0,160000000.0,111163.0,1439323776.0,6607.0,281558.0,9.0,0.3,0.01,11.0
109,109.0,Laos,207848,134.0,745.0,1.0,7660.0,,199443.0,,27827.0,100.0,1232128.0,164959.0,7469284.0,36.0,10026.0,6.0,18.0,0.1,26702.0
110,110.0,Kyrgyzstan,200993,,2991.0,,196405.0,,1597.0,131.0,29902.0,445.0,1907195.0,283737.0,6721694.0,33.0,2247.0,4.0,,,238.0
111,111.0,Iceland,185795,58.0,119.0,,75685.0,,109991.0,,538057.0,345.0,1953616.0,5657621.0,345307.0,2.0,2902.0,0.0,168.0,,318531.0
112,112.0,Maldives,179171,,298.0,,163687.0,,15186.0,25.0,321088.0,534.0,2213831.0,3967354.0,558012.0,3.0,1873.0,0.0,,,27214.0
113,113.0,Afghanistan,178901,,7683.0,,161896.0,,9322.0,1124.0,4413.0,190.0,944738.0,23306.0,40536624.0,227.0,5276.0,43.0,,,230.0
